Natlanguage_query,SQL_query
CE09 Counts of condition record,"SELECT ce.condition_concept_id, c.concept_name, COUNT(*) AS records_count
  FROM cdm.condition_era ce
  JOIN cdm.concept c
    ON c.concept_id = ce.condition_concept_id
 WHERE ce.condition_concept_id
    IN /* top five condition concepts */
       ( 256723, 372906, 440377, 441202, 435371 )
 GROUP BY ce.condition_concept_id, c.concept_name
 ORDER BY records_count DESC;"
CE10 Counts of persons with conditions,"SELECT ce.condition_concept_id, c.concept_name, COUNT(DISTINCT person_id) AS num_people
  FROM cdm.condition_era ce
  JOIN cdm.concept c
    ON c.concept_id = ce.condition_concept_id
 WHERE ce.condition_concept_id
    IN /* top five condition concepts by number of people */
        ( 256723, 372906, 440377, 441202, 435371 )
 GROUP BY ce.condition_concept_id, c.concept_name
 ORDER BY num_people DESC;"
CE11 Distribution of condition era end dates,"WITH ordered_data AS (
SELECT condition_concept_id,
       condition_era_end_date,
       ROW_NUMBER() OVER (PARTITION BY condition_concept_id ORDER BY condition_era_end_date) order_nr,
       COUNT(*) OVER (PARTITION BY condition_concept_id) AS population_size
  FROM cdm.condition_era
 WHERE condition_concept_id IN ( 256723, 372906, 440377, 441202, 435371 )
), percentiles AS (
SELECT condition_concept_id,
       MIN(CASE WHEN order_nr < .25 * population_size THEN DATEFROMPARTS(9999,1,1) ELSE condition_era_end_date END) AS pct_25,
       MIN(CASE WHEN order_nr < .50 * population_size THEN DATEFROMPARTS(9999,1,1) ELSE condition_era_end_date END) AS median,
       MIN(CASE WHEN order_nr < .75 * population_size THEN DATEFROMPARTS(9999,1,1) ELSE condition_era_end_date END) AS pct_75
  FROM ordered_data
 GROUP BY condition_concept_id
), aggregates AS (
SELECT condition_concept_id,
       MIN(condition_era_end_date) AS min_end_date,
       MAX(condition_era_end_date) AS max_end_date,
       -- Julian Date arithmetic doesn't seem natively supported by all RDBMS,
       -- using days since Jan 1 of Year 1 ('0001-01-01','YYYY-MM-DD') instead.
       DATEADD(d,AVG(CAST(DATEDIFF(day,DATEFROMPARTS(1,1,1),condition_era_end_date) AS FLOAT)),DATEFROMPARTS(1,1,1)) AS avg_end_date,
       ROUND(STDEV(CAST(DATEDIFF(day,DATEFROMPARTS(1,1,1),condition_era_end_date) AS FLOAT)),0) AS std_dev_days
  FROM cdm.condition_era
 WHERE condition_concept_id IN  ( 256723, 372906, 440377, 441202, 435371 )
 GROUP BY condition_concept_id
 )
 SELECT a.condition_concept_id, a.min_end_date, a.max_end_date, a.avg_end_date, a.std_dev_days, p.pct_25, p.median, p.pct_75
   FROM aggregates a
   JOIN percentiles p
     ON a.condition_concept_id = p.condition_concept_id
  ORDER BY a.condition_concept_id;"
CE12 Distribution of condition era start dates,"WITH ordered_data AS (
SELECT condition_concept_id,
       condition_era_start_date,
       ROW_NUMBER() OVER (PARTITION BY condition_concept_id ORDER BY condition_era_start_date) order_nr,
       COUNT(*) OVER (PARTITION BY condition_concept_id) AS population_size
  FROM cdm.condition_era
 WHERE condition_concept_id IN ( 256723, 372906, 440377, 441202, 435371 )
), percentiles AS (
SELECT condition_concept_id,
       MIN(CASE WHEN order_nr < .25 * population_size THEN DATEFROMPARTS(9999,1,1) ELSE condition_era_start_date END) AS pct_25,
       MIN(CASE WHEN order_nr < .50 * population_size THEN DATEFROMPARTS(9999,1,1) ELSE condition_era_start_date END) AS median,
       MIN(CASE WHEN order_nr < .75 * population_size THEN DATEFROMPARTS(9999,1,1) ELSE condition_era_start_date END) AS pct_75
  FROM ordered_data
 GROUP BY condition_concept_id
), aggregates AS (
SELECT condition_concept_id,
       MIN(condition_era_start_date) AS min_start_date,
       MAX(condition_era_start_date) AS max_start_date,
       -- Julian Date arithmetic doesn't seem natively supported by all RDBMS,
       -- using days since Jan 1 of Year 1 ('0001-01-01','YYYY-MM-DD') instead.
       DATEADD(d,AVG(CAST(DATEDIFF(day,DATEFROMPARTS(1,1,1),condition_era_start_date) AS FLOAT)),DATEFROMPARTS(1,1,1)) AS avg_start_date,
       ROUND(STDEV(CAST(DATEDIFF(day,DATEFROMPARTS(1,1,1),condition_era_start_date) AS FLOAT)),0) AS std_dev_days
  FROM cdm.condition_era
 WHERE condition_concept_id IN ( 256723, 372906, 440377, 441202, 435371 )
 GROUP BY condition_concept_id
 )
 SELECT a.condition_concept_id, a.min_start_date, a.max_start_date, a.avg_start_date, a.std_dev_days, p.pct_25, p.median, p.pct_75
   FROM aggregates a
   JOIN percentiles p
     ON a.condition_concept_id = p.condition_concept_id
  ORDER BY a.condition_concept_id;"
CE13 Distribution of condition occurrence count,"WITH count_data AS (
SELECT condition_concept_id, COUNT(*) AS condition_occurrence_count
  FROM cdm.condition_era
 WHERE condition_concept_id IN ( 256723, 372906, 440377, 441202, 435371 )
 GROUP BY condition_concept_id
), ordered_data AS (
SELECT condition_concept_id, condition_occurrence_count,
       ROW_NUMBER()OVER(ORDER BY condition_occurrence_count) AS order_nr
  FROM count_data
)
SELECT condition_concept_id,
       condition_occurrence_count,
       MIN(condition_occurrence_count)over() AS min_count,
       MAX(condition_occurrence_count)over() AS max_count,
       AVG(condition_occurrence_count)over() AS avg_count,
       ROUND(STDEV(condition_occurrence_count)over(),0) AS stdev_count,
       MAX(CASE WHEN order_nr = 2 then condition_occurrence_count else 0 END)OVER() AS percentile_25,
       MAX(CASE WHEN order_nr = 3 then condition_occurrence_count else 0 END)OVER() AS median,
       MAX(CASE WHEN order_nr = 4 then condition_occurrence_count else 0 END)OVER() AS percentile_75
  FROM ordered_data;"
"CE16 Distribution of condition era length, stratified by condition and condition type","WITH count_data AS (
SELECT ce.condition_concept_id, co.condition_type_concept_id, COUNT(*) AS condition_occurrence_count
  FROM cdm.condition_era ce
  JOIN cdm.condition_occurrence co
    ON ce.condition_concept_id = co.condition_concept_id
   AND ce.person_id            = co.person_id
 WHERE ce.condition_concept_id IN ( 256723, 372906, 440377, 441202, 435371 )
 GROUP BY ce.condition_concept_id, co.condition_type_concept_id
), ordered_data AS (
SELECT condition_concept_id, condition_type_concept_id, condition_occurrence_count,
       ROW_NUMBER()OVER(PARTITION BY condition_type_concept_id ORDER BY condition_occurrence_count) AS order_nr,
       COUNT(*)OVER(PARTITION BY condition_type_concept_id) AS population_size
  FROM count_data
)
SELECT condition_concept_id,
       condition_type_concept_id,
       condition_occurrence_count,
       MIN(condition_occurrence_count)over(PARTITION BY condition_type_concept_id) AS min_count,
       MAX(condition_occurrence_count)over(PARTITION BY condition_type_concept_id) AS max_count,
       AVG(condition_occurrence_count)over(PARTITION BY condition_type_concept_id) AS avg_count,
       ROUND(STDEV(condition_occurrence_count)over(PARTITION BY condition_type_concept_id),0) AS stdev_count,
       MIN(CASE WHEN order_nr < .25 * population_size then 9999999999 else condition_occurrence_count END)OVER(PARTITION BY condition_type_concept_id) AS percentile_25,
       MIN(CASE WHEN order_nr < .50 * population_size then 9999999999 else condition_occurrence_count END)OVER(PARTITION BY condition_type_concept_id) AS median,
       MIN(CASE WHEN order_nr < .75 * population_size then 9999999999 else condition_occurrence_count END)OVER(PARTITION BY condition_type_concept_id) AS percentile_75
  FROM ordered_data
 ORDER BY condition_type_concept_id, condition_concept_id;"
"CE17 Distribution of condition occurrence count, stratified by condition and condition type","WITH count_data AS (
SELECT DISTINCT
       ce.condition_concept_id,
       co.condition_type_concept_id,
       COUNT(*) OVER (PARTITION BY ce.condition_concept_id, ce.person_id) AS occurrences
  FROM cdm.condition_era ce
  JOIN cdm.condition_occurrence co
    ON ce.condition_concept_id = co.condition_concept_id
   AND ce.person_id            = co.person_id
 WHERE ce.condition_concept_id IN ( 256723, 372906, 440377, 441202, 435371 )
), ordered_data AS (
SELECT condition_concept_id,condition_type_concept_id,occurrences,
       ROW_NUMBER()OVER(PARTITION BY condition_type_concept_id ORDER BY occurrences) AS order_nr,
       COUNT(*)OVER(PARTITION BY condition_type_concept_id) AS population_size
  FROM count_data
)
SELECT DISTINCT
       condition_concept_id,
       condition_type_concept_id,
       MIN(occurrences)over(PARTITION BY condition_type_concept_id) AS min_count,
       MAX(occurrences)over(PARTITION BY condition_type_concept_id) AS max_count,
       AVG(occurrences)over(PARTITION BY condition_type_concept_id) AS avg_count,
       ROUND(STDEV(occurrences)over(PARTITION BY condition_type_concept_id),0) AS stdev_count,
       MIN(CASE WHEN order_nr < .25 * population_size then 9999999999 else occurrences END)OVER(PARTITION BY condition_type_concept_id) AS percentile_25,
       MIN(CASE WHEN order_nr < .50 * population_size then 9999999999 else occurrences END)OVER(PARTITION BY condition_type_concept_id) AS median,
       MIN(CASE WHEN order_nr < .75 * population_size then 9999999999 else occurrences END)OVER(PARTITION BY condition_type_concept_id) AS percentile_75
  FROM ordered_data
 ORDER BY condition_type_concept_id, condition_concept_id;"
CO01 How long does a condition last.,"SELECT
  DATEDIFF(day,ca.condition_era_start_date, ca.condition_era_end_date) + 1 AS num_condition_duration_days,
  count(*)                                                                 AS condition_duration_freq_count
FROM cdm.condition_era ca
INNER JOIN cdm.concept c
ON ca.condition_concept_id = c.concept_id
WHERE c.concept_id = 200219
GROUP BY  c.concept_id,
          c.concept_name,
          DATEDIFF(day,condition_era_start_date, ca.condition_era_end_date)
ORDER BY 1;"
CO02 How to determine the onset of a condition.,"SELECT
  MIN(condition_start_date) AS onset_condition_date
FROM cdm.condition_occurrence
WHERE condition_concept_id = 23988 
      AND   EXISTS (SELECT 1 FROM cdm.observation_period op 
                    WHERE op.person_id = condition_occurrence.person_id
                          AND  DATEADD(month,6,op.observation_period_start_date) < condition_occurrence.condition_start_date)
;"
CO03 What is specialty that diagnosed a condition.,"SELECT
  concept_name          AS Specialty,
  specialty_freq        AS Specialty_freq
FROM  
  ( SELECT
      specialty_concept_id,
      COUNT(*)          AS specialty_freq
      FROM
        ( SELECT
            specialty_concept_id,
            from_cond.provider_id
          FROM
            (SELECT
                provider_id
             FROM cdm.condition_occurrence
             -- Input condition_concept_id
             WHERE condition_concept_id = 31967
                   AND provider_id IS NOT NULL
            ) AS from_cond
          LEFT JOIN
            ( SELECT
                provider_id       AS provider_id_from_prov,
                specialty_concept_id
              FROM cdm.provider
            ) AS from_prov
          ON from_cond.provider_id=from_prov.provider_id_from_prov
        ) AS prov_cond_spec
      GROUP BY specialty_concept_id
  ) AS spec_id_count
LEFT JOIN
  (SELECT
    concept_id,
    concept_name
   FROM cdm.concept
  ) AS spec_concept
ON spec_id_count.specialty_concept_id = spec_concept.concept_id
ORDER BY specialty_freq DESC;"
CO04 Count In what place of service where condition diagnoses.,"SELECT
  concept_name AS place_of_service_name,
  place_freq
FROM
  (SELECT
    care_site_id,
    count(*)  AS place_freq
    FROM
      (SELECT
        care_site_id
      FROM
        (SELECT
          visit_occurrence_id
          FROM cdm.condition_occurrence
          WHERE condition_concept_id = 31967 -- Input condition
                AND visit_occurrence_id IS NOT NULL
        ) AS from_cond
      LEFT JOIN
        (SELECT
          visit_occurrence_id,
          care_site_id
         FROM cdm.visit_occurrence
        ) AS from_visit
      ON from_cond.visit_occurrence_id=from_visit.visit_occurrence_id
      ) AS from_cond_visit
    GROUP BY care_site_id
  ) AS place_id_count

  LEFT JOIN

  (SELECT
    concept_id,
    concept_name
   FROM cdm.concept
  ) AS place_concept
  ON place_id_count.care_site_id=place_concept.concept_id
ORDER BY place_freq;"
